Format,Campaign / Ad name,ICP Size,Reach (unique),Avg Dwell (s),Baseline Dwell (s),CTR (%),Baseline CTR (%),View Rate (%),Baseline View Rate (%),Views @25%,Views @50%,Views @75%,Total Views,Completion Rate (%),Baseline Completion Rate (%),Spend (£)
Image,Brand Awareness - ICP Push,4000,1514,4.17,4,0.38,0.37,,,,,,,,,8710
Image,Thought Leadership Post,4000,586,3.0,4,0.24,0.38,,,,,,,,,2070
Image,Customer Story Spotlight,4000,382,4.48,4,0.19,0.38,,,,,,,,,1117
Image,Product Feature Highlight,4000,625,5.9,4,0.52,0.38,,,,,,,,,2581
Image,Generic Brand Post,4000,200,2.0,4,0.11,0.38,,,,,,,,,1030
Single,Event Promo Static,4000,320,3.2,4,0.28,0.38,,,,,,,,,650
Doc/Cara,Industry Report Carousel,4000,480,6.5,4,0.45,0.38,28,25,,,,,,,1200
Doc/Cara,How-To Guide Carousel,4000,350,5.8,4,0.41,0.38,25,25,,,,,,,900
Video,Brand Story Film,100000,18551,4.72,4.43,0.21,0.23,26.88,24.62,8646,4153,2953,2410,1.31,1.29,1318
Video,Product Demo 30s,50000,8200,3.9,4.43,0.18,0.23,22.5,24.62,3200,1800,900,650,0.95,1.29,850
Video,Customer Testimonial,50000,12000,5.1,4.43,0.32,0.23,30.2,24.62,5500,3100,2200,1800,1.85,1.29,1100
